standart_fandom,Количество фанфиков,Доля
Ориджиналы,437,0.273125
Гарри Поттер,196,0.1225
Марвел,167,0.104375
Чудесная божья коровка (Леди Баг и Супер-Кот),99,0.061875
Bangtan Boys (BTS),79,0.049375
Однажды в сказке,61,0.038125
Fairy Tail,47,0.029375
Сотня,45,0.028125
Naruto,39,0.024375
Волчонок,35,0.021875
Katekyo Hitman Reborn!,28,0.0175
Супергёрл,18,0.01125
Detroit: Become Human,13,0.008125
Boku no Hero Academia,12,0.0075
Shingeki no Kyojin,10,0.00625
"Гарри Поттер,Марвел",10,0.00625
Клуб Романтики: Секрет небес,8,0.005
Клуб Винкс: Школа волшебниц,8,0.005
EXO - K/M,7,0.004375
Шерлок (BBC),7,0.004375
Малефисента,7,0.004375
Зверополис,7,0.004375
Гравити Фолз,7,0.004375
Ривердэйл,7,0.004375
Hetalia: Axis Powers,7,0.004375
BlackPink,6,0.00375
Life is Strange,6,0.00375
" что с ним связано,Фикбук и всё",5,0.003125
Звездные Войны,5,0.003125
Совиный дом,5,0.003125
Импровизация,5,0.003125
Yuri!!! on Ice,5,0.003125
Как приручить дракона,5,0.003125
Mo Dao Zu Shi,5,0.003125
Аватар: Легенда о Корре,4,0.0025
"Гарри Поттер,Naruto",4,0.0025
Игра Престолов,4,0.0025
Dragon Age,4,0.0025
Genshin Impact,4,0.0025
Kuroko no Basuke,4,0.0025
"Гарри Поттер,Шерлок (BBC)",4,0.0025
The Elder Scrolls V: Skyrim,4,0.0025
Холодное сердце,4,0.0025
Undertale,4,0.0025
Bleach,4,0.0025
Ким Пять-с-Плюсом,3,0.001875
"Земфира,Рената Литвинова",3,0.001875
Ведьмак,3,0.001875
Люцифер,3,0.001875
Время приключений с Финном и Джейком,3,0.001875
Алиса в Стране Чудес (Алиса в Зазеркалье),3,0.001875
Мерлин,3,0.001875
Bungou Stray Dogs,3,0.001875
Аватар: Легенда об Аанге (Последний маг воздуха),3,0.001875
"Гарри Поттер,Звездные Войны",3,0.001875
" Гейман Нил «Добрые предзнаменования» (Благие знамения),Пратчетт Терри,Благие знамения (Добрые предзнаменования)",3,0.001875
Пацанки,3,0.001875
Ши-Ра и Непобедимые принцессы,2,0.00125
Клуб Романтики: Я охочусь на тебя,2,0.00125
Стыд,2,0.00125
"Гарри Поттер,Bleach",2,0.00125
"Alycia Debnam-Carey,Сотня,Eliza Taylor",2,0.00125
"Однажды в сказке,Jennifer Marie Morrison,Lana Parrilla",2,0.00125
Звёздная принцесса и силы зла (Стар против сил зла),2,0.00125
Андерсен Ганс Христиан «Снежная королева»,2,0.00125
Сверхъестественное,2,0.00125
"Bleach,Katekyo Hitman Reborn!",2,0.00125
Мосян Тунсю «Благословение небожителей»,2,0.00125
Вселенная Стивена,2,0.00125
"Шерлок (BBC),Марвел,Гарри Поттер,Сверхъестественное,Мерлин,Доктор Кто",1,0.000625
Академия Амбрелла,1,0.000625
Отель Хазбин,1,0.000625
League of Legends,1,0.000625
"Политика,Слуга народа,Студия Квартал 95,Лига Смеха",1,0.000625
"Alycia Debnam-Carey,Сотня,Eliza Taylor,Сотня (актеры)",1,0.000625
"Гарри Поттер,Katekyo Hitman Reborn!",1,0.000625
2NE1,1,0.000625
"Импровизация,Антон Шастун",1,0.000625
Hagane no Renkinjutsushi,1,0.000625
Diabolik Lovers,1,0.000625
"Гарри Поттер,Хеллбой",1,0.000625
Ганнибал,1,0.000625
Kill la Kill,1,0.000625
"Однажды в сказке,Доктор Хаус",1,0.000625
Death Note,1,0.000625
"Марвел,Шерлок (BBC)",1,0.000625
Mahou Tsukai no Yome,1,0.000625
Youjo Senki,1,0.000625
Kamisama Hajimemashita,1,0.000625
"Гарри Поттер,Hellsing",1,0.000625
"Naruto,Игра Престолов",1,0.000625
Jujutsu Kaisen,1,0.000625
"Оно,Оно (2017-2019)",1,0.000625
"Mo Dao Zu Shi,Неукротимый: Повелитель Чэньцин",1,0.000625
"Naruto,Warhammer 40.000",1,0.000625
"Гарри Поттер,Bleach,Katekyo Hitman Reborn!,Властелин Колец,Naruto,Звездные Войны",1,0.000625
"Fairy Tail,Soul Eater,Death Note,Hagane no Renkinjutsushi,Kuroshitsuji,Ao no Exorcist,Code Geass",1,0.000625
"Майор Гром: Чумной Доктор,Майор Гром / Игорь Гром",1,0.000625
Hunter x Hunter,1,0.000625
Идеальный голос,1,0.000625
"Гарри Поттер,Bleach,Katekyo Hitman Reborn!",1,0.000625
"В Такт с Биением Сердца,Сотня",1,0.000625
"Хранители снов,Холодное сердце",1,0.000625
"Легенды Завтрашнего Дня,Супергёрл",1,0.000625
" что с ним связано,Naruto,Фикбук и всё",1,0.000625
Хроники Шаннары,1,0.000625
Noragami,1,0.000625
Клуб Романтики: Легенда ивы,1,0.000625
Вольтрон: Легендарный защитник,1,0.000625
"Гарри Поттер,Звездные Войны,Семейка Аддамс,Хранители снов",1,0.000625
"Доктор Кто,Шерлок (BBC),Сверхъестественное",1,0.000625
"Fairy Tail,Naruto,One Piece",1,0.000625
В поле зрения,1,0.000625
Властелин Колец,1,0.000625
Хор (Лузеры),1,0.000625
Хранители снов,1,0.000625
"D.Gray-man,Bleach,Fairy Tail,Katekyo Hitman Reborn!,Death Note,Naruto,Gintama,One Piece",1,0.000625
"Политика,Студия Квартал 95,Лига Смеха,Евгений Кошевой",1,0.000625
"Fate/Grand Order,Tate no Yuusha no Nariagari",1,0.000625
Kuroshitsuji,1,0.000625
"Гарри Поттер,Owari no Seraph",1,0.000625
Папины дочки,1,0.000625
One Piece,1,0.000625
"Сумеречные охотники,Сотня",1,0.000625
Фиксики,1,0.000625
"CNBLUE,K-pop,B.A.P,EXO - K/M,Big Bang,Super Junior",1,0.000625
Red Velvet,1,0.000625
Vocaloid,1,0.000625
"Ривердэйл,Арчи",1,0.000625
Голодные игры,1,0.000625
Soul Eater,1,0.000625
"Гарри Поттер,Macademi Wasshoi!",1,0.000625
"Гарри Поттер,Игра Престолов",1,0.000625
Рапунцель: Запутанная история,1,0.000625
Битва экстрасенсов,1,0.000625
"Katekyo Hitman Reborn!,Bungou Stray Dogs",1,0.000625
"Однажды в сказке,Зена – королева воинов (Ксена – принцесса-воин)",1,0.000625
"Клуб Винкс: Школа волшебниц,Мир Винкс",1,0.000625
"Сумерки. Сага,Сверхъестественное,Майер Стефани «Сумерки»",1,0.000625
"Jennifer Marie Morrison,Lana Parrilla",1,0.000625
"Властелин Колец,Толкин Джон Р. Р. «Хоббит, или Туда и обратно»",1,0.000625
19 Дней - Однажды,1,0.000625
"Шерлок (BBC),Ганнибал,Теория Большого взрыва,Ходячие мертвецы,Отбросы,Американская история ужасов,Сверхъестественное,Однажды в сказке,Мерлин,Доктор Кто",1,0.000625
"Мосян Тунсю «Система ""Спаси-Себя-Сам"" для Главного Злодея»",1,0.000625
Трансформеры,1,0.000625
Block B,1,0.000625
"Шерлок (BBC),Марвел,Гарри Поттер,Дневники вампира,Игра Престолов,Сумерки. Сага,Голодные игры,Сверхъестественное",1,0.000625
"Спящая красавица,Малефисента",1,0.000625
След,1,0.000625
Little Witch Academia,1,0.000625
Мой маленький пони: Дружба — это чудо,1,0.000625
Клэр Кассандра «Сумеречные охотники / Орудия смерти»,1,0.000625
Ивановы-Ивановы,1,0.000625
D.Gray-man,1,0.000625
"Гарри Поттер,Bangtan Boys (BTS)",1,0.000625
One Direction,1,0.000625
"Пушкин Александр «Евгений Онегин»,Толстой Лев «Война и мир»,Лермонтов Михаил «Герой нашего времени»,Грибоедов Александр «Горе от ума»,Достоевский Фёдор «Преступление и наказание»",1,0.000625